Commands,Model Parameters,,,,,,,Reflectivity Data from Air,,,Model,Tiles,,,,,Profile,,,Incoherent Sum,,,ctrl-s,χ2,,,,,,,,,,
ctrl-l : Load,Compound,Nb (Å-2),μlabs/l [Å-2],μlinc [Å-1],d (Å),σfwhm (Å),ωdPS,Q (Å-1),R,dR,Rmodel,nrough,Nb (Å-2),mlabs/l [Å-2],mlinc [Å-1],d (Å),z (Å),Nb (Å-2),,R(1 – δd/d),R(1 ),R(1 + δd/d),Sum,29.6,,,,,,,,,,
ctrl-r : Calc Refl,air,0.00E+00,0.00,0.00,100.0,,,8.347E-03,9.351E-01,2.778E-02,1.00E+00,21,0.00E+00,0.00E+00,0.00E+00,100.00,-10.00,0.00E+00,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.5,,,,,,,,,,
ctrl-q : Toggle RQ4,PEO_1,2.08E-06,0.00E+00,0.00E+00,33.4,10.0,0.32,8.430E-03,1.098E+00,2.887E-02,1.00E+00,,8.14E-09,0.00E+00,0.00E+00,3.44,100.00,0.00E+00,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,11.6,,,,,,,,,,
,dPS_1,4.19E-06,0.00E+00,0.00E+00,39.8,33.4,0.68,8.515E-03,9.472E-01,2.309E-02,1.00E+00,,6.70E-08,0.00E+00,0.00E+00,2.56,100.00,8.14E-09,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.2,,,,,,,,,,
,dPS_2,3.89E-06,0.00E+00,0.00E+00,39.8,39.8,0.63,8.600E-03,1.020E+00,2.348E-02,1.00E+00,,1.52E-07,0.00E+00,0.00E+00,1.43,103.44,8.14E-09,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.7,,,,,,,,,,
RQ4,PEO_2,2.38E-06,0.00E+00,0.00E+00,33.4,33.4,0.37,8.686E-03,1.001E+00,2.204E-02,1.00E+00,,2.49E-07,0.00E+00,0.00E+00,1.05,103.44,6.70E-08,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.0,,,,,,,,,,
FALSE,PEO_3,3.38E-06,0.00E+00,0.00E+00,33.4,33.4,0.54,8.773E-03,1.138E+00,2.450E-02,1.00E+00,,3.50E-07,0.00E+00,0.00E+00,0.85,106.01,6.70E-08,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,31.5,,,,,,,,,,
χ2,dPS_3,2.89E-06,0.00E+00,0.00E+00,39.8,33.4,0.46,8.860E-03,1.045E+00,2.202E-02,1.00E+00,,4.55E-07,0.00E+00,0.00E+00,0.73,106.01,1.52E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,4.3,,,,,,,,,,
57.1,dPS_4,4.21E-06,0.00E+00,0.00E+00,39.8,39.8,0.69,8.949E-03,9.852E-01,2.033E-02,1.00E+00,,5.60E-07,0.00E+00,0.00E+00,0.66,107.43,1.52E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.5,,,,,,,,,,
,PEO_4,2.06E-06,0.00E+00,0.00E+00,33.4,33.4,0.31,9.039E-03,1.028E+00,2.028E-02,1.00E+00,,6.67E-07,0.00E+00,0.00E+00,0.61,107.43,2.49E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.0,,,,,,,,,,
dQ0 (Å-1),PEO_5,3.24E-06,0.00E+00,0.00E+00,33.4,33.4,0.52,9.129E-03,9.948E-01,1.894E-02,1.00E+00,,7.73E-07,0.00E+00,0.00E+00,0.58,108.48,2.49E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.1,,,,,,,,,,
0.0001,dPS_5,3.03E-06,0.00E+00,0.00E+00,39.8,33.4,0.48,9.220E-03,9.393E-01,1.795E-02,1.00E+00,,8.80E-07,0.00E+00,0.00E+00,0.56,108.48,3.50E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,11.4,,,,,,,,,,
dQ1/Q,dPS_6,4.06E-06,0.00E+00,0.00E+00,39.8,39.8,0.66,9.312E-03,1.016E+00,1.812E-02,1.00E+00,,9.87E-07,0.00E+00,0.00E+00,0.55,109.33,3.50E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.8,,,,,,,,,,
0.023,PEO_6,2.21E-06,0.00E+00,0.00E+00,33.4,33.4,0.34,9.406E-03,1.021E+00,1.816E-02,1.00E+00,,1.14E-06,0.00E+00,0.00E+00,0.76,109.33,4.55E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.4,,,,,,,,,,
λ (Å),PEO_7,2.45E-06,0.00E+00,0.00E+00,33.4,33.4,0.38,9.500E-03,1.021E+00,1.773E-02,1.00E+00,,1.36E-06,0.00E+00,0.00E+00,1.52,110.06,4.55E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.4,,,,,,,,,,
4.25,dPS_7,3.81E-06,0.00E+00,0.00E+00,39.8,33.4,0.62,9.595E-03,1.044E+00,1.768E-02,1.00E+00,,1.62E-06,0.00E+00,0.00E+00,1.52,110.06,5.60E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.2,,,,,,,,,,
,dPS_8,3.84E-06,0.00E+00,0.00E+00,39.8,39.8,0.62,9.691E-03,9.729E-01,1.580E-02,1.00E+00,,1.83E-06,0.00E+00,0.00E+00,1.52,110.72,5.60E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,2.9,,,,,,,,,,
,PEO_8,2.43E-06,0.00E+00,0.00E+00,33.4,33.4,0.38,9.787E-03,9.872E-01,1.562E-02,1.00E+00,,1.98E-06,0.00E+00,0.00E+00,1.52,110.72,6.67E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.7,,,,,,,,,,
,PEO_9,1.15E-06,0.00E+00,0.00E+00,33.4,33.4,0.16,9.885E-03,9.864E-01,1.507E-02,1.00E+00,,2.08E-06,0.00E+00,0.00E+00,1.52,111.33,6.67E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,0.8,,,,,,,,,,
,dPS_9,5.12E-06,0.00E+00,0.00E+00,39.8,33.4,0.84,9.984E-03,9.628E-01,1.455E-02,1.00E+00,,2.14E-06,0.00E+00,0.00E+00,1.52,111.33,7.73E-07,,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.5,,,,,,,,,,
,dPS_10,5.07E-06,0.00E+00,0.00E+00,39.8,39.8,0.84,1.008E-02,1.010E+00,1.495E-02,9.99E-01,,2.18E-06,0.00E+00,0.00E+00,1.52,111.91,7.73E-07,,9.99E-01,9.99E-01,9.99E-01,9.99E-01,0.5,,,,,,,,,,
,PEO_10,1.20E-06,0.00E+00,0.00E+00,33.4,33.4,0.16,1.018E-02,9.993E-01,1.435E-02,9.98E-01,,2.22E-06,0.00E+00,0.00E+00,1.52,111.91,8.80E-07,,9.97E-01,9.98E-01,9.98E-01,9.98E-01,0.0,,,,,,,,,,
,SiOx,3.20E-06,0.00E+00,9.87E-10,10.0,5.0,dbilayer (Å),1.029E-02,9.771E-01,1.380E-02,9.95E-01,,2.25E-06,0.00E+00,0.00E+00,1.52,112.47,8.80E-07,,9.94E-01,9.95E-01,9.96E-01,9.95E-01,1.7,,,,,,,,,,
,Si (Substrate),2.07E-06,4.75E-11,2.00E-12,100.0,5.0,73.2,1.039E-02,9.306E-01,1.280E-02,9.92E-01,,2.29E-06,0.00E+00,0.00E+00,1.52,112.47,9.87E-07,,9.90E-01,9.92E-01,9.93E-01,9.92E-01,22.9,,,,,,,,,,
,,,,,,,δd/d,1.049E-02,9.959E-01,1.329E-02,9.89E-01,,2.33E-06,0.00E+00,0.00E+00,1.52,113.02,9.87E-07,,9.86E-01,9.89E-01,9.91E-01,9.89E-01,0.3,,,,,,,,,,
,,NbdPS (Å-2),Nboff (Å-2),,,,0.040,1.060E-02,9.589E-01,1.260E-02,9.86E-01,,2.38E-06,0.00E+00,0.00E+00,1.52,113.02,1.14E-06,,9.82E-01,9.86E-01,9.88E-01,9.85E-01,4.5,,,,,,,,,,
,,6.01E-06,-3.85E-07,total thickness,732.2,,Smear Factor,1.070E-02,9.691E-01,1.251E-02,9.82E-01,,2.43E-06,0.00E+00,0.00E+00,1.52,113.78,1.14E-06,,9.79E-01,9.82E-01,9.85E-01,9.82E-01,1.1,,,,,,,,,,
,,NbPEO (Å-2),,,,,1.000,1.081E-02,1.027E+00,1.290E-02,9.79E-01,,2.49E-06,0.00E+00,0.00E+00,1.52,113.78,1.36E-06,,9.74E-01,9.79E-01,9.82E-01,9.79E-01,14.3,,,,,,,,,,
,,2.54E-07,,,,,νdPS,1.092E-02,9.784E-01,1.195E-02,9.75E-01,,2.56E-06,0.00E+00,0.00E+00,1.52,115.29,1.36E-06,,9.70E-01,9.75E-01,9.79E-01,9.75E-01,0.1,,,,,,,,,,
,,,,,,,0.544,1.103E-02,9.668E-01,1.154E-02,9.70E-01,,2.63E-06,0.00E+00,0.00E+00,1.52,115.29,1.62E-06,,9.65E-01,9.70E-01,9.75E-01,9.70E-01,0.1,,,,,,,,,,
,Total for MB,2.351E-03,Å-1,,,,,1.114E-02,9.513E-01,1.116E-02,9.65E-01,,2.70E-06,0.00E+00,0.00E+00,1.52,116.81,1.62E-06,,9.59E-01,9.65E-01,9.71E-01,9.65E-01,1.5,,,,,,,,,,
,,,,,,,,1.125E-02,9.553E-01,1.103E-02,9.60E-01,,2.78E-06,0.00E+00,0.00E+00,1.52,116.81,1.83E-06,,9.52E-01,9.60E-01,9.66E-01,9.59E-01,0.1,,,,,,,,,,
,,,,,,,,1.136E-02,9.230E-01,1.041E-02,9.53E-01,,2.87E-06,0.00E+00,0.00E+00,1.52,118.33,1.83E-06,,9.45E-01,9.53E-01,9.60E-01,9.53E-01,8.2,,,,,,,,,,
,,,,,,,,1.148E-02,9.433E-01,1.043E-02,9.46E-01,,2.96E-06,0.00E+00,0.00E+00,1.52,118.33,1.98E-06,,9.37E-01,9.46E-01,9.53E-01,9.46E-01,0.0,,,,,,,,,,
,,,,,,,,1.159E-02,9.118E-01,9.869E-03,9.37E-01,,3.04E-06,0.00E+00,0.00E+00,1.52,119.85,1.98E-06,,9.28E-01,9.37E-01,9.46E-01,9.37E-01,6.5,,,,,,,,,,
,,,,,,,,1.171E-02,9.028E-01,9.596E-03,9.28E-01,,3.11E-06,0.00E+00,0.00E+00,0.76,119.85,2.08E-06,,9.17E-01,9.28E-01,9.37E-01,9.27E-01,6.5,,,,,,,,,,
,,,,,,,,1.182E-02,9.243E-01,9.652E-03,9.16E-01,,3.16E-06,0.00E+00,0.00E+00,0.90,121.37,2.08E-06,,9.05E-01,9.16E-01,9.26E-01,9.16E-01,0.7,,,,,,,,,,
,,,,,,,,1.194E-02,9.137E-01,9.424E-03,9.03E-01,,3.24E-06,0.00E+00,0.00E+00,1.81,121.37,2.14E-06,,8.91E-01,9.03E-01,9.14E-01,9.03E-01,1.3,,,,,,,,,,
,,,,,,,,1.206E-02,8.866E-01,9.045E-03,8.88E-01,,3.34E-06,0.00E+00,0.00E+00,1.81,122.89,2.14E-06,,8.75E-01,8.88E-01,9.00E-01,8.88E-01,0.0,,,,,,,,,,
,,,,,,,,1.218E-02,9.207E-01,9.310E-03,8.71E-01,,3.44E-06,0.00E+00,0.00E+00,1.81,122.89,2.18E-06,,8.57E-01,8.71E-01,8.83E-01,8.71E-01,29.1,,,,,,,,,,
,,,,,,,,1.230E-02,8.724E-01,8.754E-03,8.51E-01,,3.54E-06,0.00E+00,0.00E+00,1.81,124.40,2.18E-06,,8.37E-01,8.51E-01,8.63E-01,8.50E-01,6.4,,,,,,,,,,
,,,,,,,,1.243E-02,8.384E-01,8.284E-03,8.27E-01,,3.63E-06,0.00E+00,0.00E+00,1.81,124.40,2.22E-06,,8.13E-01,8.27E-01,8.40E-01,8.27E-01,1.9,,,,,,,,,,
,,,,,,,,1.255E-02,8.312E-01,8.123E-03,8.01E-01,,3.71E-06,0.00E+00,0.00E+00,1.81,125.92,2.22E-06,,7.86E-01,8.01E-01,8.13E-01,8.00E-01,14.6,,,,,,,,,,
,,,,,,,,1.268E-02,7.874E-01,7.678E-03,7.70E-01,,3.78E-06,0.00E+00,0.00E+00,1.81,125.92,2.25E-06,,7.56E-01,7.70E-01,7.82E-01,7.69E-01,5.6,,,,,,,,,,
,,,,,,,,1.280E-02,7.553E-01,7.392E-03,7.34E-01,,3.84E-06,0.00E+00,0.00E+00,1.81,127.44,2.25E-06,,7.22E-01,7.34E-01,7.45E-01,7.34E-01,8.3,,,,,,,,,,
,,,,,,,,1.293E-02,7.246E-01,7.142E-03,6.94E-01,,3.90E-06,0.00E+00,0.00E+00,1.81,127.44,2.29E-06,,6.84E-01,6.94E-01,7.03E-01,6.94E-01,18.5,,,,,,,,,,
,,,,,,,,1.306E-02,6.658E-01,6.637E-03,6.49E-01,,3.95E-06,0.00E+00,0.00E+00,1.81,128.96,2.29E-06,,6.41E-01,6.49E-01,6.56E-01,6.49E-01,6.5,,,,,,,,,,
,,,,,,,,1.319E-02,6.512E-01,6.521E-03,5.99E-01,,3.98E-06,0.00E+00,0.00E+00,1.81,128.96,2.33E-06,,5.95E-01,5.99E-01,6.02E-01,5.99E-01,64.7,,,,,,,,,,
,,,,,,,,1.332E-02,6.049E-01,6.193E-03,5.45E-01,,4.01E-06,0.00E+00,0.00E+00,1.81,130.48,2.33E-06,,5.44E-01,5.45E-01,5.43E-01,5.44E-01,96.4,,,,,,,,,,
,,,,,,,,1.346E-02,5.451E-01,5.758E-03,4.86E-01,,4.04E-06,0.00E+00,0.00E+00,1.81,130.48,2.38E-06,,4.91E-01,4.86E-01,4.79E-01,4.85E-01,107.5,,,,,,,,,,
,,,,,,,,1.359E-02,4.913E-01,5.399E-03,4.25E-01,,4.05E-06,0.00E+00,0.00E+00,1.81,132.00,2.38E-06,,4.34E-01,4.25E-01,4.12E-01,4.24E-01,155.2,,,,,,,,,,
,,,,,,,,1.373E-02,4.242E-01,4.848E-03,3.62E-01,,4.06E-06,0.00E+00,0.00E+00,1.81,132.00,2.43E-06,,3.77E-01,3.62E-01,3.44E-01,3.61E-01,167.5,,,,,,,,,,
,,,,,,,,1.386E-02,3.668E-01,4.421E-03,3.00E-01,,4.07E-06,0.00E+00,0.00E+00,1.81,133.52,2.43E-06,,3.20E-01,3.00E-01,2.78E-01,3.00E-01,231.0,,,,,,,,,,
,,,,,,,,1.400E-02,3.069E-01,4.042E-03,2.41E-01,,4.07E-06,0.00E+00,0.00E+00,1.81,133.52,2.49E-06,,2.64E-01,2.41E-01,2.16E-01,2.41E-01,267.4,,,,,,,,,,
,,,,,,,,1.414E-02,2.468E-01,3.525E-03,1.87E-01,,4.07E-06,0.00E+00,0.00E+00,1.81,135.03,2.49E-06,,2.12E-01,1.87E-01,1.61E-01,1.87E-01,287.0,,,,,,,,,,
,,,,,,,,1.429E-02,1.990E-01,3.119E-03,1.40E-01,,4.06E-06,0.00E+00,0.00E+00,1.81,135.03,2.56E-06,,1.66E-01,1.40E-01,1.15E-01,1.40E-01,356.1,,,,,,,,,,
,,,,,,,,1.443E-02,1.542E-01,2.705E-03,1.01E-01,,4.05E-06,0.00E+00,0.00E+00,1.81,136.55,2.56E-06,,1.25E-01,1.01E-01,7.88E-02,1.01E-01,381.6,,,,,,,,,,
,,,,,,,,1.457E-02,1.106E-01,2.246E-03,7.03E-02,,4.04E-06,0.00E+00,0.00E+00,1.81,136.55,2.63E-06,,9.12E-02,7.03E-02,5.31E-02,7.12E-02,307.3,,,,,,,,,,
,,,,,,,,1.472E-02,8.509E-02,1.936E-03,4.83E-02,,4.04E-06,0.00E+00,0.00E+00,0.90,138.07,2.63E-06,,6.47E-02,4.83E-02,3.70E-02,4.96E-02,336.3,,,,,,,,,,
,,,,,,,,1.487E-02,6.426E-02,1.661E-03,3.43E-02,,4.03E-06,0.00E+00,0.00E+00,0.90,138.07,2.70E-06,,4.54E-02,3.43E-02,2.95E-02,3.59E-02,291.7,,,,,,,,,,
,,,,,,,,1.501E-02,5.237E-02,1.495E-03,2.73E-02,,4.02E-06,0.00E+00,0.00E+00,1.81,139.59,2.70E-06,,3.27E-02,2.73E-02,2.88E-02,2.90E-02,243.8,,,,,,,,,,
,,,,,,,,1.516E-02,4.975E-02,1.523E-03,2.60E-02,,4.01E-06,0.00E+00,0.00E+00,1.81,139.59,2.78E-06,,2.58E-02,2.60E-02,3.32E-02,2.78E-02,208.4,,,,,,,,,,
,,,,,,,,1.532E-02,4.920E-02,1.402E-03,2.91E-02,,3.99E-06,0.00E+00,0.00E+00,1.81,141.11,2.78E-06,,2.36E-02,2.91E-02,4.12E-02,3.07E-02,173.4,,,,,,,,,,
,,,,,,,,1.547E-02,5.148E-02,1.387E-03,3.52E-02,,3.97E-06,0.00E+00,0.00E+00,1.81,141.11,2.87E-06,,2.52E-02,3.52E-02,5.12E-02,3.67E-02,113.3,,,,,,,,,,
,,,,,,,,1.562E-02,5.842E-02,1.463E-03,4.33E-02,,3.95E-06,0.00E+00,0.00E+00,1.81,142.63,2.87E-06,,2.96E-02,4.33E-02,6.21E-02,4.46E-02,89.4,,,,,,,,,,
,,,,,,,,1.578E-02,6.807E-02,1.565E-03,5.24E-02,,3.94E-06,0.00E+00,0.00E+00,1.81,142.63,2.96E-06,,3.58E-02,5.24E-02,7.30E-02,5.34E-02,87.7,,,,,,,,,,
,,,,,,,,1.594E-02,7.461E-02,1.597E-03,6.17E-02,,3.91E-06,0.00E+00,0.00E+00,1.81,144.14,2.96E-06,,4.32E-02,6.17E-02,8.32E-02,6.25E-02,57.9,,,,,,,,,,
,,,,,,,,1.610E-02,8.988E-02,1.750E-03,7.07E-02,,3.89E-06,0.00E+00,0.00E+00,1.81,144.14,3.04E-06,,5.10E-02,7.07E-02,9.22E-02,7.12E-02,114.6,,,,,,,,,,
,,,,,,,,1.626E-02,9.546E-02,1.811E-03,7.89E-02,,3.87E-06,0.00E+00,0.00E+00,1.81,145.66,3.04E-06,,5.88E-02,7.89E-02,9.97E-02,7.91E-02,81.8,,,,,,,,,,
,,,,,,,,1.642E-02,1.044E-01,1.933E-03,8.60E-02,,3.84E-06,0.00E+00,0.00E+00,1.81,145.66,3.11E-06,,6.61E-02,8.60E-02,1.06E-01,8.59E-02,91.2,,,,,,,,,,
,,,,,,,,1.658E-02,1.113E-01,1.866E-03,9.18E-02,,3.80E-06,0.00E+00,0.00E+00,1.81,146.42,3.11E-06,,7.27E-02,9.18E-02,1.10E-01,9.15E-02,112.1,,,,,,,,,,
